month,item,value
2026-01,sell_price,1000
2026-01,unit_process_cost,120
2026-01,unit_purchase_cost,400
2026-02,sell_price,1000
2026-02,unit_process_cost,120
2026-02,unit_purchase_cost,400
2026-03,sell_price,1000
2026-03,unit_process_cost,120
2026-03,unit_purchase_cost,400
2026-04,sell_price,1000
2026-04,unit_process_cost,120
2026-04,unit_purchase_cost,400
2026-05,sell_price,1000
2026-05,unit_process_cost,120
2026-05,unit_purchase_cost,400
2026-06,sell_price,1000
2026-06,unit_process_cost,120
2026-06,unit_purchase_cost,400
2026-07,sell_price,1000
2026-07,unit_process_cost,120
2026-07,unit_purchase_cost,400
2026-08,sell_price,1000
2026-08,unit_process_cost,120
2026-08,unit_purchase_cost,400
2026-09,sell_price,1000
2026-09,unit_process_cost,120
2026-09,unit_purchase_cost,400
2026-10,sell_price,1000
2026-10,unit_process_cost,120
2026-10,unit_purchase_cost,400
2026-11,sell_price,1000
2026-11,unit_process_cost,120
2026-11,unit_purchase_cost,400
2026-12,sell_price,1000
2026-12,unit_process_cost,120
2026-12,unit_purchase_cost,400
